"LEADNUM","Company","Website","PaymentMethods","Verticals","Coverage","Rates","Fees","Integrations","Contact","Onboarding","RiskNotes","NOTES"
"CANPAY-1","Aeropay","https://aeropay.com","ACH bank to bank; account to account; in cart online; no credit cards","THC dispensaries; delivery; ecommerce; CBD; hemp","USA multi state including MI","ACH approx 1.25% to 2.5% per transaction; volume based; $0 to $1 minimum per transaction; settlement 1 to 2 business days","Monthly gateway 0 to 25; ACH return 5 to 8; chargeback 25 to 35","Dutchie; Jane; Tymber; Olla; WooCommerce via custom gateway; API","https://aeropay.com/contact","3 to 7 business days; KYB; license check; bank approval","Cannabis friendly ACH with consumer enroll and tokenization; no cashless ATM; age and geo tools; MI friendly banks","Aeropay provides compliance first bank to bank payments that work well for online ordering and delivery in regulated markets. Merchants connect a compliant sponsor bank and customers link their bank once to pay via a trusted flow that avoids the card networks. For Michigan ecommerce, Aeropay supports age gating, address validation, and transaction monitoring aligned with state rules. Typical effective rates sit in the low 1 percent to mid 2 percent range, making it cost efficient compared to PIN debit, with fast settlement and clear return handling. Risk is mitigated by KYC, OFAC, AML screening and return reason codes with webhooks. Integration can be hosted checkout or API and most popular cannabis ecommerce platforms already support it."
"CANPAY-2","CanPay","https://www.canpaydebit.com","Debit network with tokenized mobile app; PIN debit; online prepayment and pickup flows; no credit cards","THC dispensaries; delivery; ecommerce prepay; CBD","USA multi state including MI","Network pricing varies by bank; typical effective cost similar to PIN debit 2.5% to 3.5%; settlement 1 to 2 business days","Monthly 0 to 25 depending on package; per item network fees; chargeback 25 to 35","Dutchie; Jane; Blaze; Treez; API","https://www.canpaydebit.com/contact/","3 to 10 business days; merchant bank enrollment required; consumer enroll via app","Purpose built cannabis debit network; bank sponsored; no use of cashless ATM. Requires the store to bank with a participating institution and customers to enroll in the CanPay app. Works for online reserve and pay flows where payment is authorized ahead of pickup or delivery in supported jurisdictions including Michigan. Strong compliance posture, but pricing and availability are controlled by partner banks and may vary by market. Good for stores seeking a consistent debit experience without card network risk."
"CANPAY-3","Paybotic","https://www.paybotic.com","PIN debit; ACH; eCheck; hosted payment page; payment gateway for ecommerce","THC dispensaries; delivery; CBD; hemp derived","USA nationwide including MI","PIN debit often 2.75% to 4.0% plus $0.25 to $0.50; ACH 1.2% to 2.2%; funding 1 to 3 business days","Monthly 15 to 35; gateway 10 to 25; setup 0 to 250; chargeback 25 to 35","WooCommerce; Magento; BigCommerce via HPP; Dutchie; Jane; API","https://www.paybotic.com/contact/","2 to 7 business days; detailed underwriting; ongoing compliance reviews","High risk specialist with long cannabis experience. Supports online carts through a hosted payment page or direct API so you can accept ACH or PIN debit without relying on gray area methods. Michigan coverage is available through aligned sponsor banks and the company offers chargeback assistance and return analytics. Useful when you want both in store and online acceptance under one provider. Expect pricing to vary based on monthly volume, average ticket, and product mix, with optional fraud screening to reduce ACH returns."
"CANPAY-4","Dama Financial","https://www.damafinancial.com","ACH; PIN debit; online invoice and checkout; treasury and deposit services","THC dispensaries; delivery; ecommerce; CBD","USA multi state including MI","ACH often 1.5% to 2.5%; PIN debit 2.75% to 4.0% plus per item; daily settlement common","Monthly program fee 25 to 95 depending on banking services; ACH return 5 to 8; chargeback 25 to 35","Dutchie; Treez; Blaze; custom API; back office portals","https://www.damafinancial.com/contact","5 to 10 business days; KYB with cannabis license verification; bank sponsor approval","Compliance first banking and payments stack that pairs settlement accounts with integrated payment acceptance for omnichannel cannabis merchants. For Michigan operators, Dama coordinates with chartered partner banks and supports online ACH checkout, delivery flows, and secure disbursements. Strong emphasis on SAR, KYC, AML, and audit ready reporting. Pricing is competitive for ACH and market typical for PIN debit. Best fit for teams that value a single vendor for payments plus compliant deposit accounts and cash logistics."
"CANPAY-5","Bankcard International Group (BIG)","https://www.bankcardinternationalgroup.com","PIN debit; ACH; eCheck; MOTO; ecommerce gateway","THC dispensaries; delivery; ecommerce; CBD; accessories","USA nationwide including MI","PIN debit generally 2.75% to 4.25% plus $0.25 to $0.45; ACH 1.3% to 2.3%","Monthly 10 to 35; gateway 10 to 20; setup 0 to 199; chargeback 25 to 35","WooCommerce; NMI; Authorize.Net compatible gateways; custom API","https://www.bankcardinternationalgroup.com/contact-us/","3 to 8 business days; thorough underwriting; PCI and cannabis compliance checklists","Aggregator with a cannabis focused program that matches merchants to compliant sponsor banks and gateways. Supports Michigan operators with ecommerce via hosted payments or direct gateway tokens and can pair with popular carts. Offers risk and chargeback tools, AVS like checks for ACH, and recurring billing. Rates are negotiated to volume and risk and the provider is candid about avoiding cashless ATM, preferring transparent PIN debit and ACH rails that hold up under audits."
"CANPAY-6","POSaBIT","https://posabit.com","PIN debit; ACH for online checkout; integrated wallet options","THC dispensaries; delivery; ecommerce; point of sale","USA multi state including MI","PIN debit typically 2.6% to 4.0% plus per item; ACH online often 1.5% to 2.5%; funding 1 to 2 business days","Platform and support fees vary by bundle; monthly 0 to 49 typical; chargeback 25 to 35","Dutchie; Olla; Tymber; Treez; Blaze; custom API","https://posabit.com/contact","3 to 7 business days for payments only; longer if bundling POS","Well known cannabis payments vendor with deep retail expertise. For online, POSaBIT supports ACH based pay by bank flows that tie to compliant settlement accounts and offers reporting across online and in store channels. Michigan operators will find mature age verification, order ahead, and delivery options. The company moved away from cashless ATM models in favor of transparent PIN debit and account to account rails, improving compliance posture while keeping customer experience simple."
"CANPAY-7","Dutchie Pay","https://dutchie.com/pay","ACH bank payments within the Dutchie cart; customer enrolls once; no cards","THC dispensaries; delivery; ecommerce","USA in Dutchie supported states including MI","ACH around 1.25% to 2.5% effective; daily or next day settlement depending on bank","Bundled with Dutchie payments plan; per item ACH return fees apply; chargeback 25 to 35","Native to Dutchie ecommerce; POS integrations via Dutchie ecosystem","https://dutchie.com/contact","2 to 6 business days after KYB and license verification","If you already use Dutchie for ecommerce, Dutchie Pay is the smoothest way to enable online bank payments. It removes card networks entirely and provides a recognizable pay by bank flow with strong customer adoption. Michigan is a core market and configuration includes age checks and delivery zone controls. Pricing is volume based and generally competitive with other ACH providers. The trade off is ecosystem lock in, but you gain tight reporting, unified support, and compliance workflows that auditors understand."
"CANPAY-8","PayQwick","https://payqwick.com","ACH transfers; digital wallet; invoice pay; ecommerce paylink options","THC dispensaries; delivery; wholesalers; ecommerce; CBD","USA multi state including MI","ACH commonly 1.5% to 2.5% with minimum per item; settlement 1 to 2 business days","Account program fees may apply; ACH return 5 to 8; chargeback 25 to 35","API; back office; selected POS and menu partners","https://payqwick.com/contact/","5 to 10 business days; banking relationship plus payments onboarding","PayQwick operates a compliance focused payments and treasury platform designed for licensed cannabis businesses. For online retail, they support ACH based checkout and payment links, and for B2B they streamline supplier and wholesaler payments. Michigan coverage depends on partner bank availability, which is generally strong. Merchants benefit from audit ready reporting, limits and velocity controls, and configurable approval workflows. The solution suits operators who want wallet plus treasury under one roof more than those seeking a plug and play cart only gateway."
"CANPAY-9","Paytender","https://www.paytender.com","ACH wallet; pay by bank; QR and link based checkout; no card networks","THC dispensaries; delivery; ecommerce; CBD","USA multi state including MI","ACH around 1.3% to 2.4% typical; settlement next day to two days depending on bank","Monthly 0 to 25; ACH return 5 to 8; chargeback 25 to 35; optional gateway fees","POS and menu partners; WooCommerce custom integrations; API and hosted checkout","https://www.paytender.com/contact","3 to 7 business days; standard KYB and cannabis license validation","Paytender focuses on a simple wallet experience that lets consumers link their bank and pay in a few taps, supporting both in store and online in regulated markets. For Michigan stores, Paytender can enable order ahead with online authorization and compliant delivery flows. Pricing is competitive for ACH and reporting includes return codes and dispute tracking. The team emphasizes consumer support to drive repeat usage and offers marketing opt ins to help increase return customer rates without sacrificing compliance or data security."
"CANPAY-10","KindTap","https://www.kindtap.com","Cardless credit line; pay by bank; BNPL style revolving credit for cannabis","THC dispensaries; delivery; ecommerce","USA multi state including MI","BNPL and credit line pricing varies; effective merchant discount often 3.5% to 6.0%; ACH pay by bank 1.5% to 2.5%","Monthly program fees may apply; dispute 25 to 35; integration costs vary","Dutchie; Tymber; custom API; SDK","https://www.kindtap.com/contact","5 to 12 business days; credit program underwriting and KYB","KindTap enables customers to check out online using a revolving line of credit purpose built for cannabis along with a standard pay by bank option. This can lift average order value and conversion for ecommerce in markets like Michigan, with funds settled to the merchant on a predictable schedule. Because it is a credit product, pricing is higher than pure ACH, but many retailers find the uplift offsets the cost. Compliance is handled through robust KYC, age verification, and spending controls, with detailed reporting for audits."
